Operation,Class,Definition
"public Autenticar() : bool","Interf Autenticação",""
"public Editar perfil de usuário() : void","Interf Usuário",""
"public Cadastrar Usuário() : void","Interf Usuário",""
"public Pesquisar Usuário() : bool","Interf Usuário",""
"public Cadastrar Conta Corrente() : void","Interf Usuário",""
"public Cadastrar Cartão de Crédito() : void","Interf Usuário",""
"public Descadastrar Usuário() : void","Interf Usuário",""
"public Descadastrar Conta Corrente() : void","Interf Usuário",""
"public Descadastrar Cartão de Crédito() : void","Interf Usuário",""
"public Cadastrar Reserva() : void","Interf Reserva",""
"public Cancelar Reserva() : void","Interf Reserva",""
"public Cadastrar Acomodação() : void","Interf Acomodação",""
"public Descadastrar Acomodação() : void","Interf Acomodação",""
"public Editar Acomodação() : void","Interf Acomodação",""
"public Cadastrar Período de Disponibilidade de Reserva() : void","Interf Acomodação",""
"public Descadastrar Período de Disponibilidade de Acomodação() : void","Interf Acomodação",""
"public Editar Período de Disponibilidade de Acomodação() : void","Interf Acomodação",""
"public Executar Módulo de Usuário() : void","IA Usuário",""
"public Cadastrar Usuário() : void","IA Usuário",""
"public Executar Módulo de Reserva() : void","IA Reserva",""
"public Cadastrar Reserva() : void","IA Reserva",""
"public Cancelar Reserva() : void","IA Reserva",""
"public Executar Módulo de Acomodação() : void","IA Acomodação",""
"public Cadastrar Acomodação() : void","IA Acomodação",""
"public Descadastrar Acomodação() : void","IA Acomodação",""
"public Editar Acomodação() : void","IA Acomodação",""
"public Cadastrar Período de Disponibilidade de Acomodação() : void","IA Acomodação",""
"public Descadastrar Período de Disponibilidade de Acomodação() : void","IA Acomodação",""
"public Editar Período de Disponibilidade de Acomodação() : void","IA Acomodação",""
"public Autenticar() : void","IA Autenticação",""
